time,AvgDist,ecuSpeed,OPS,ecuTPS,RPM,avgTPS,TPS_setpoint,Lambda,ETC_setpoint,APPS1,BSPot,BSPres,SB_errorSum,SB_setpoint,BrakeLight,ProximitySensorArm,ProximitySensorBil,Clutch_LoadCell,Clutch_pot,gear,speed_fl,speed_fr,speed_rl,speed_rr,avgSpeed,SteeringPotA,SteeringPotP,SteeringSpeed,SteeringPWM,SteeringErrorSum,Ax,Ay,YawRate,YawAcc,loadCell_fl,loadCell_fr,loadCell_rl,loadCell_rr
2.346371,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.344223,729,0.138038,0,0.000000,0,1,1,1.120549,3.546155,0.011135,0.000000,0.000000,0.000000,0.000000,0.000000,21.552433,2.255947,0.347550,0,0.990000,0.078795,-0.020054,-0.035000,0.000000,0.000000,0.000000,0.000000,0.000000
2.369207,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.355302,729,0.134774,0,0.000000,0,1,1,1.309670,3.582364,0.013932,0.000000,0.000000,0.000000,0.000000,0.000000,21.556444,2.254653,-0.321711,0,0.990000,0.098791,-0.021304,-0.075000,0.000000,0.000000,0.000000,0.000000,0.000000
2.392240,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.368876,729,0.140836,0,0.000000,0,1,1,0.919534,3.554772,0.014630,0.000000,0.000000,0.000000,0.000000,0.000000,21.552223,2.250358,1.708199,0,0.990000,0.118788,-0.006307,-0.095000,5.000000,0.000000,0.000000,0.000000,0.000000
2.415239,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.368824,729,0.140570,0,0.000000,0,1,1,0.756550,3.583003,0.014778,0.000000,0.000000,0.000000,0.000000,0.000000,21.546661,2.253330,0.238435,0,0.990000,0.118788,-0.008806,-0.085000,0.000000,0.000000,0.000000,0.000000,0.000000
2.436386,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.364741,729,0.134749,0,0.000000,0,1,1,0.893473,3.577663,0.012044,0.000000,0.000000,0.000000,0.000000,0.000000,21.552704,2.251022,-2.079423,0,0.990000,0.078795,-0.033802,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
2.457770,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.363936,729,0.135235,0,0.000000,0,1,1,0.605496,3.562965,0.011770,0.000000,0.000000,0.000000,0.000000,0.000000,21.552069,2.242358,-1.473084,0,0.990000,0.078795,-0.040051,-0.055000,0.000000,0.000000,0.000000,0.000000,0.000000
2.481159,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.361148,729,0.139579,0,0.000000,0,1,1,0.841988,3.557231,0.012782,0.000000,0.000000,0.000000,0.000000,0.000000,21.557533,2.252774,-0.878153,0,0.990000,0.078795,0.003692,-0.085000,0.000000,0.000000,0.000000,0.000000,0.000000
2.503098,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.372519,729,0.138626,0,0.000000,0,1,1,0.600431,3.576991,0.013852,0.000000,0.000000,0.000000,0.000000,0.000000,21.544230,2.256257,-0.374507,0,0.990000,0.098791,0.003692,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000
2.525243,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.377818,729,0.131787,0,0.000000,0,1,1,0.904235,3.583148,0.014615,0.000000,0.000000,0.000000,0.000000,0.000000,21.547380,2.255772,0.208983,0,0.990000,0.118788,-0.023804,-0.065000,0.000000,0.000000,0.000000,0.000000,0.000000
2.547450,0.000000,0.000000,0.187500,100.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.379231,729,0.134155,0,0.000000,0,1,1,0.818328,3.583843,0.010331,0.000000,0.000000,0.000000,0.000000,0.000000,21.550449,2.262222,-0.523916,0,0.990000,0.118788,-0.017555,-0.055000,0.000000,0.000000,0.000000,0.000000,0.000000
